tensor([ 0.2678, -0.0048])
tensor([ 0.2729, -0.0120])
tensor([ 0.2732, -0.0056])
tensor([ 0.2791, -0.0008])
tensor([0.2792, 0.0022])
tensor([0.2823, 0.0003])
tensor([0.2970, 0.0195])
tensor([ 0.0980, -0.0493])
tensor([ 0.1015, -0.0653])
tensor([ 0.0954, -0.0442])
tensor([ 0.0986, -0.0640])
tensor([ 0.1046, -0.0790])
tensor([ 0.0934, -0.0711])
tensor([ 0.1109, -0.0642])
tensor([ 0.0991, -0.0559])
tensor([ 0.1062, -0.0667])
tensor([ 0.1156, -0.0577])
tensor([ 0.1148, -0.0654])
tensor([ 0.1038, -0.0573])
tensor([ 0.1154, -0.0679])
tensor([ 0.1125, -0.0605])
tensor([ 0.1027, -0.0671])
tensor([ 0.1077, -0.0626])
tensor([ 0.1114, -0.0683])
tensor([ 0.1153, -0.0702])
tensor([ 0.1128, -0.0658])
tensor([ 0.1022, -0.0721])
tensor([ 0.1114, -0.0629])
tensor([ 0.1235, -0.0650])
tensor([ 0.1212, -0.0755])
tensor([ 0.1244, -0.0493])
tensor([ 0.1213, -0.0606])
tensor([ 0.1224, -0.0657])
tensor([ 0.1147, -0.0703])
tensor([ 0.1084, -0.0571])
tensor([ 0.1156, -0.0802])
tensor([ 0.1314, -0.0656])
tensor([ 0.1132, -0.0630])
tensor([ 0.1169, -0.0655])
tensor([ 0.1156, -0.0631])
tensor([ 0.1167, -0.0869])
tensor([ 0.1275, -0.0635])
tensor([ 0.1118, -0.0912])
tensor([ 0.1213, -0.0806])
tensor([ 0.1145, -0.0619])
tensor([ 0.1234, -0.0734])
tensor([ 0.1272, -0.0729])
tensor([ 0.1253, -0.0569])
tensor([ 0.1205, -0.0809])
tensor([ 0.1314, -0.0873])
tensor([ 0.1096, -0.0740])
tensor([ 0.1241, -0.0776])
tensor([ 0.1416, -0.0790])
tensor([ 0.1329, -0.0700])
tensor([ 0.1360, -0.0848])
tensor([ 0.1301, -0.0655])
tensor([ 0.1373, -0.0816])
tensor([ 0.1236, -0.0772])
tensor([ 0.1334, -0.0665])
tensor([ 0.1295, -0.0889])
tensor([ 0.1301, -0.0624])
tensor([ 0.1306, -0.0881])
tensor([ 0.1435, -0.0921])
tensor([ 0.1313, -0.0944])
tensor([ 0.1439, -0.0965])
tensor([ 0.1364, -0.0772])
tensor([ 0.1377, -0.0680])
tensor([ 0.1236, -0.0873])
tensor([ 0.1266, -0.0860])
tensor([ 0.1411, -0.0785])
tensor([ 0.1314, -0.0901])
tensor([ 0.1451, -0.0983])
tensor([ 0.1287, -0.0956])
tensor([ 0.1373, -0.0992])
tensor([ 0.1321, -0.0830])
tensor([ 0.1404, -0.0772])
tensor([ 0.1431, -0.0777])
tensor([ 0.1311, -0.0950])
tensor([ 0.1471, -0.0954])
tensor([ 0.1394, -0.0900])
tensor([ 0.1497, -0.1003])
tensor([ 0.1419, -0.0866])
tensor([ 0.1499, -0.0828])
tensor([ 0.1493, -0.1006])
tensor([ 0.1496, -0.1017])
tensor([ 0.1442, -0.0833])
tensor([ 0.1403, -0.1124])
tensor([ 0.1464, -0.0948])
tensor([ 0.1427, -0.0886])
tensor([ 0.1559, -0.1040])
tensor([ 0.1483, -0.0913])
tensor([ 0.1456, -0.0883])
tensor([ 0.1490, -0.1056])
tensor([ 0.1387, -0.0900])
tensor([ 0.1416, -0.0924])
tensor([ 0.1486, -0.1016])
tensor([ 0.1464, -0.0826])
tensor([ 0.1582, -0.0982])
tensor([ 0.1536, -0.0823])
tensor([ 0.1545, -0.0934])
tensor([ 0.1545, -0.0941])
tensor([ 0.1653, -0.0925])
tensor([ 0.1539, -0.1023])
tensor([ 0.1541, -0.0966])
tensor([ 0.1488, -0.1095])
tensor([ 0.1643, -0.1003])
tensor([ 0.1515, -0.0994])
tensor([ 0.1594, -0.1097])
tensor([ 0.1493, -0.0952])
tensor([ 0.1479, -0.0942])
tensor([ 0.1453, -0.0972])
tensor([ 0.1582, -0.1150])
tensor([ 0.1555, -0.1081])
tensor([ 0.1539, -0.0954])
tensor([ 0.1587, -0.0872])
tensor([ 0.1597, -0.0950])
tensor([ 0.1667, -0.1163])
tensor([ 0.1758, -0.1063])
tensor([ 0.1569, -0.1033])
tensor([ 0.1571, -0.0923])
tensor([ 0.1641, -0.1064])
tensor([ 0.1682, -0.1052])
tensor([ 0.1585, -0.0976])
tensor([ 0.1676, -0.1070])
tensor([ 0.1541, -0.1058])
tensor([ 0.1662, -0.0922])
tensor([ 0.1698, -0.1086])
tensor([ 0.1582, -0.1216])
tensor([ 0.1551, -0.1080])
tensor([ 0.1575, -0.1106])
tensor([ 0.1598, -0.1074])
tensor([ 0.1667, -0.1015])
tensor([ 0.1726, -0.1050])
tensor([ 0.1716, -0.1159])
tensor([ 0.1512, -0.1024])
tensor([ 0.1753, -0.1008])
tensor([ 0.1670, -0.1216])
tensor([ 0.1809, -0.0968])
tensor([ 0.1871, -0.1150])
tensor([ 0.1697, -0.1056])
tensor([ 0.1837, -0.1261])
tensor([ 0.1787, -0.1092])
tensor([ 0.1847, -0.1154])
tensor([ 0.1745, -0.1069])
tensor([ 0.1859, -0.1133])
tensor([ 0.1735, -0.1053])
tensor([ 0.1769, -0.1095])
tensor([ 0.1890, -0.0910])
tensor([ 0.1899, -0.1156])
tensor([ 0.1716, -0.0866])
tensor([ 0.1799, -0.1141])
tensor([ 0.1969, -0.1108])
tensor([ 0.1911, -0.1195])
tensor([ 0.2104, -0.1121])
tensor([ 0.1834, -0.1134])
tensor([ 0.1837, -0.1026])
tensor([ 0.1835, -0.1109])
tensor([ 0.1999, -0.1139])
tensor([ 0.1886, -0.1224])
